Hs.egID	gene.symbol	gene.alias	OMIM.ID	OMIM.name	info	gene.description	gene.type
100329167	AAA1	AAA	100070	Aortic aneurysm, familial abdominal 1 (2)	MIM:100070	aortic aneurysm, familial abdominal 1	unknown
217	ALDH2	ALDH-E2|ALDHI|ALDM	100650	Alcohol sensitivity, acute, 610251 (3);{Esophageal cancer, alcohol-related, susceptibility to} (3);{Hangover, susceptibility to}, 610251 (3);{Sublingual nitroglycerin, susceptibility to poor response to} (3)	MIM:100650|HGNC:HGNC:404|Ensembl:ENSG00000111275|Vega:OTTHUMG00000169603	aldehyde dehydrogenase 2 family member	protein-coding
39	ACAT2		100678	?ACAT2 deficiency, 614055 (1)	MIM:100678|HGNC:HGNC:94|Ensembl:ENSG00000120437|Vega:OTTHUMG00000015935	acetyl-CoA acetyltransferase 2	protein-coding
1134	CHRNA1	ACHRA|ACHRD|CHRNA|CMS1A|CMS1B|CMS2A|FCCMS|SCCMS	100690	Multiple pterygium syndrome, lethal type, 253290 (3);Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3);Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3)	MIM:100690|HGNC:HGNC:1955|Ensembl:ENSG00000138435|Vega:OTTHUMG00000132357	cholinergic receptor nicotinic alpha 1 subunit	protein-coding
1140	CHRNB1	ACHRB|CHRNB|CMS1D|CMS2A|CMS2C|SCCMS	100710	?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 (3);Myasthenic syndrome, congenital, 2A, slow-channel, 616313 (3)	MIM:100710|HGNC:HGNC:1961|Ensembl:ENSG00000170175|Vega:OTTHUMG00000108139	cholinergic receptor nicotinic beta 1 subunit	protein-coding
1144	CHRND	ACHRD|CMS2A|CMS3A|CMS3B|CMS3C|FCCMS|SCCMS	100720	?Myasthenic syndrome, congenital, 3A, slow-channel, 616321 (3);?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 (3);Multiple pterygium syndrome, lethal type, 253290 (3);Myasthenic syndrome, congenital, 3B, fast-channel, 616322 (3)	MIM:100720|HGNC:HGNC:1965|Ensembl:ENSG00000135902|Vega:OTTHUMG00000133261	cholinergic receptor nicotinic delta subunit	protein-coding
1145	CHRNE	ACHRE|CMS1D|CMS1E|CMS2A|CMS4A|CMS4B|CMS4C|FCCMS|SCCMS	100725	Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3);Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3);Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3)	MIM:100725|HGNC:HGNC:1966|Ensembl:ENSG00000108556|Vega:OTTHUMG00000090778	cholinergic receptor nicotinic epsilon subunit	protein-coding
1146	CHRNG	ACHRG	100730	Escobar syndrome, 265000 (3);Multiple pterygium syndrome, lethal type, 253290 (3)	MIM:100730|HGNC:HGNC:1967|Ensembl:ENSG00000196811|Vega:OTTHUMG00000153327	cholinergic receptor nicotinic gamma subunit	protein-coding
43	ACHE	ACEE|ARACHE|N-ACHE|YT	100740	[Blood group, Yt system], 112100 (3)	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085|Vega:OTTHUMG00000157033	acetylcholinesterase (Cartwright blood group)	protein-coding
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	100790	Central hypoventilation syndrome, congenital, 209880 (3);Haddad syndrome, 209880 (3)	MIM:100790|HGNC:HGNC:738|Ensembl:ENSG00000139352|Vega:OTTHUMG00000169967	achaete-scute family bHLH transcription factor 1	protein-coding
